,userName,content,score,at,category
0,Azza Rais,"Easy to use for the most part. There should be an easier way to sign into meetings, well, a quicker way I should say. Quality of meetings is great. Setup is easy and basic, makes ease of use for beginners. A must try for this day-in-age.",5,2026-03-10 16:56:52,FEATURE
1,Hannah Saidu,Great app,4,2026-03-10 15:23:44,BUG
2,Safari Sumarika,wow good application to meet friends,5,2026-03-10 15:20:04,FEATURE
3,Alyan Imran,I can use it on my smart fridge not helpful nor useful but it is cool:),5,2026-03-10 15:14:20,FEATURE
4,Jason Wilson,Super limited functionality. It's not worth your time just use meet. It's way better on mobile.,1,2026-03-10 15:10:58,BUG
5,Juan Martinez,Can't lower volume completely when using the external speaker. I have to switch to the earpiece speaker to lower the sound. Please fix this ongoing issue.,1,2026-03-10 15:01:37,BUG
6,Ayat Youssef,بيقطع كل شويه والبيانات كتير,2,2026-03-10 14:45:15,BUG
7,Rahat_ isi,👍,5,2026-03-10 14:38:40,BUG
8,Zaheer masih Bunny bhai,good 😊👍,5,2026-03-10 13:50:26,BUG
9,Blessing Uyi Ighodaro,first timer,5,2026-03-10 13:40:06,BUG
10,Sanjeev Sadh,My meeting is not working 😭,1,2026-03-10 13:27:11,BUG
11,Rehanpasha Syed,better exp.....,3,2026-03-10 13:18:00,FEATURE
12,Do B,get on with it!!,1,2026-03-10 13:06:17,BUG
13,Azlan Choudhary,good,5,2026-03-10 12:57:22,BUG
14,Shikhar Pathak,Why this app has no feature to control video quality in case we have less data balance?,3,2026-03-10 12:49:21,FEATURE
15,Jega,not open in my tablet,1,2026-03-10 12:23:01,BUG
16,Mahdi Jami,👌,5,2026-03-10 11:47:15,BUG
17,ali moosa,this app is very useful,5,2026-03-10 11:28:11,BUG
18,Shabana Dar,it is very helpful,5,2026-03-10 11:26:43,BUG
19,Angelo Marroccolo,very good the zoom app I had help with setting up zoom the girls in the office helped me,5,2026-03-10 11:24:47,BUG
20,Abdul Waheed,lol lora,5,2026-03-10 11:15:29,BUG
21,Bryan Smith,"its a scam to grab your device data. It was always intended to be so. want for data scams, Zoom is the papa of them all.",1,2026-03-10 10:42:23,BUG
22,Muhammad Abdullah,good,5,2026-03-10 10:40:49,BUG
23,HM JAHID,Good,1,2026-03-10 10:32:04,BUG
24,Marukurthi Parvathi,camera issue,1,2026-03-10 10:15:16,BUG
25,Chongo Mulenga,perfect,5,2026-03-10 10:05:48,BUG
26,Moni,Service is very low,1,2026-03-10 09:58:45,BUG
27,sathwik Kovvuri,nice,5,2026-03-10 09:58:13,FEATURE
28,kapelan kapelan,good,5,2026-03-10 09:55:58,BUG
29,Tammy Keck,Loving this as it works great with my exercise classes through Silver Sneakers,5,2026-03-10 09:52:04,BUG
30,Sagar Pradhan,Android auto integration sucks. Daily usability not that great. MS Teams is much superior product for users.,1,2026-03-10 09:40:43,FEATURE
31,Tony,constantly crashes on Android can't believe this is a multibillion dollar tech company,2,2026-03-10 09:28:16,BUG
32,Habeba Mohamed,🤩🤩🤩🤩,5,2026-03-10 09:09:50,BUG
33,Beatrice Ochieng,excellent,5,2026-03-10 08:50:53,BUG
34,M Taqi,"i used many times but in studies it is the bestest app for many uses like meetings,study specifically for students etc......",5,2026-03-10 08:40:19,FEATURE
35,Mistri shahzad Joyia,good 👍,5,2026-03-10 08:33:45,BUG
36,Pyara Singh,it not work properly,2,2026-03-10 08:29:08,BUG
37,Jesmin Nahar,Very good app,4,2026-03-10 08:21:10,BUG
38,Rohaib Awan,"_Easy to use_: Even for those with little tech experience, Zoom's interface is intuitive and straightforward. - _Reliable video and audio quality_: Great even with average internet connections. - _Feature-rich_: Screen sharing, recording, and breakout rooms are super useful.",5,2026-03-10 08:17:31,BUG
39,Abdul Karim Afridi,"bed service, usually disconnect during online class",1,2026-03-10 07:37:05,FEATURE
40,Shafeer It,good,5,2026-03-10 07:32:09,BUG
41,Naveen Kumar,wonderful,5,2026-03-10 07:06:19,BUG
42,Samir Ghorieb,It was amazing,5,2026-03-10 05:59:19,BUG
43,Hasi Jani,Good App,5,2026-03-10 05:19:05,BUG
44,My Thoughts by S S,good,4,2026-03-10 05:17:44,BUG
45,Jallen Alvaro,Wsszင、鉕你,5,2026-03-10 05:10:34,BUG
46,Arkhram Exe,i have not used this before but my school is not open so they decided to take online zoom classes with this and i am very exicited to use this app they take the zoom classes from 11 march 2026 to 31 march 2026 so that its,5,2026-03-10 05:00:22,BUG
47,Alicia Sukati,good experience I got my dream job in my dream country,5,2026-03-10 04:58:07,BUG
48,Bangla Food,good job,5,2026-03-10 04:54:52,BUG
49,Hafeez Uddin,This improvement has been very bad.,1,2026-03-10 04:39:46,BUG
50,Farhat Batool,it is very difficult to download.,1,2026-03-10 04:38:50,BUG
51,Suksan Juntasaro,ใช้งานง่าย,5,2026-03-10 04:32:54,BUG
52,Pushpa Latha,Super cute,5,2026-03-10 04:29:58,FEATURE
53,bablu bablu,good,4,2026-03-10 03:56:53,BUG
54,BK. Durgesh Mishra,great,5,2026-03-10 03:32:42,BUG
55,ayi yunus,muantap,5,2026-03-10 02:56:31,BUG
56,Win Nyunt,ok,5,2026-03-10 02:50:28,BUG
57,Imran Haider,good,3,2026-03-10 02:14:19,BUG
58,Raja Latif,Good,5,2026-03-10 02:08:57,BUG
59,Raghavendra Kumar,good,5,2026-03-10 01:25:29,BUG
60,Ahmed Ahmef,we use first time,2,2026-03-10 01:11:57,FEATURE
61,Tayyba Malik,unable to download properly,1,2026-03-10 00:27:52,BUG
62,Muhammad Hassan,I download it and it was cancelled by it self and I have to download it again,1,2026-03-10 00:13:58,BUG
63,Farhat Parveen,😠😡😡😡😡😡😡,2,2026-03-10 00:03:16,BUG
64,Stvarlight,itni koi fitymun app h na,1,2026-03-09 23:57:56,BUG
65,BAPURAO KADAM,good,4,2026-03-09 23:41:36,BUG
66,Rajni Sharma,The zoom meeting app is amazing 😍 and It is very helpful also . we can attend the online class and also can make a zoom meeting room 😁 It is best if you want to attend the online class but without net it will not work.,5,2026-03-09 23:40:14,FEATURE
67,M yasir,exceptional,5,2026-03-09 23:15:07,BUG
68,Martha Lakshimi,"Our zoom meeting went on very well without any disruption, Thanks,",5,2026-03-09 23:04:45,BUG
69,Leema Jose,Not able to download the app. Always stuck at 26% installation...,1,2026-03-09 22:32:19,BUG
70,Liliana Aguilera,very good,5,2026-03-09 21:30:19,BUG
71,Anupam Srivastav,miracle of technology,5,2026-03-09 21:17:38,BUG
72,Hassan Ali,very bad app 💩💩💩,1,2026-03-09 21:10:01,BUG
