ID,App-name,version,rating,date,device,author,body,category,cluster,priority
0,org.wordpress.android,2.7.1,5,1396652984904,?,Riri Novi,I need to justify I love this app  its very good. But i need to justify my post and all.,FEATURE,C1,NORMAL
1,org.wordpress.android,2.7.1,5,1396707657527,?,Rajib Khaja,Need one things more: If you just put some few options then it will be better than ever. Like Text justify options coloring text.,FEATURE,C1,NORMAL
2,org.wordpress.android,2.7.1,5,1396531257480,?,Stanley Kaytovich,Great app It's extremely useful when on the go. It would be useful to have the ability to add featured image to posts as well as font controls (size and color),FEATURE,C2,NORMAL
3,org.wordpress.android,2.7.1,2,1396995158819,?,Mani Teja,Need more options There are no option to delete or modify multiple posts at same time,FEATURE,C3,NORMAL
4,org.wordpress.android,2.7.1,4,1396621021962,HTC Explorer,Nikhil Mishra,? Add some styling option for post,FEATURE,C4,NORMAL
5,org.wordpress.android,2.7.1,3,1396718581929,?,Steven Gonzalez,Needs some refinements Good app overall  but many formatting changes (bold  italics  font colours  etc) don't show on my website once the post is uploaded.,FEATURE,C4,NORMAL
6,org.wordpress.android,2.7.1,4,1396616254440,?,Jaynem Soundz,So so You still haven't added the edit profile features so I'm keeping my star.,FEATURE,C5,NORMAL
7,org.wordpress.android,2.7.1,4,1396707092399,?,Daniel Opitz,I like it but... I can't upload media! No matter what I try  it just won't upload. Kinda defeats the purpose of being able to stay connected if I can't upload pics Plugin support is minimal to non existant too. Everything else is great. Using a Samsung Galaxy S4. Please fix!!,FEATURE,C6,NORMAL
8,org.wordpress.android,2.7.1,4,1397040297969,?,Lucian Last,Good but a black background option missing The app is cool  But some option like firefox; Black background  white white text Is needed,FEATURE,C7,NORMAL
9,org.wordpress.android,2.7.1,5,1397041984322,?,ashish chauhan,Can't log in in self hosted blog... Improve it fast..,BUG,C8,HIGH
10,org.wordpress.android,2.7.1,4,1396886822200,?,Mandeep Saini,? After this update. I am unable to post on self hosted blogs. Even not able to connect my blogs after logout. Pls fix the issue.,BUG,C8,HIGH
11,org.wordpress.android,2.7.1,3,1396989867371,?,Lefa Biya,:( It does not want to go trough my self hosted blog what might be the problem ?,BUG,C8,HIGH
12,org.wordpress.android,2.7.1,1,1396620350454,?,Bethany Newman,"If I could give a 0... ""I was on a trip very far abroad for only 16 days and wanted a way to quickly upload photos for friends and family to see so I didn't have to resend the same photos 12x's. Well I'm embarrassed to have bothered providing them all with the link with only 2 days to account for. Here I am on the last day of the trip and was only able to upload 2 posts due to a """"media data"""" issue. I looked up just about every relatable issue and tried troubleshooting for 14 days. No luck. What a waste of time.""",BUG,C9,NORMAL
13,org.wordpress.android,2.7.1,2,1396702750597,?,Ritesh Pothan,Still needs tremendous improvement Can't upload media and many other shortcomings,BUG,C9,NORMAL
14,org.wordpress.android,2.7.1,2,1396664787125,Motorola Atrix,mei mei,doesn't loads pics When using the reader  it doesn't load pictures from the post I wanna read...  what happened?  it wasn't like this before!? And no 'refesh' doesn't help either,BUG,C9,NORMAL
15,org.wordpress.android,2.7.1,2,1397062535798,?,Fiona Kelly,The current update Has caused the app to not work anymore. I am getting constant upload errors - used to work fine.,BUG,C9,NORMAL
16,org.wordpress.android,2.7.1,4,1396660917892,?,Nick Lee,? Stats broken in last update,BUG,C10,NORMAL
17,org.wordpress.android,2.7.1,3,1396989436065,?,Eden Johnson,Posting When I post and it's shared with Facebook  it shows other pics not associated with the post. Why is that?  Also in the posts tab  its not showing all my posts,BUG,C11,NORMAL
